model,seed,macro_f1,accuracy,weighted_f1,balanced_acc,macro_precision,macro_recall,kappa,mcc,top2_acc,top3_acc,mean_entropy,mean_confidence,ece,brier
bilstm,42,0.3069200423663241,0.5259593679458239,0.5515572292226295,0.38384187800350367,0.2953820765711975,0.38384187800350367,0.43190886909607606,0.44301319596194166,0.7082392776523702,0.7928893905191874,1.4357936382293701,0.5349713563919067,0.04135869354278723,0.638607382774353
bilstm,43,0.32993839133211184,0.559255079006772,0.5941481128253823,0.39166039579177214,0.31182260576284043,0.39166039579177214,0.4684334185904574,0.4752978533663717,0.7212189616252822,0.8126410835214447,0.9182266592979431,0.6838573813438416,0.12554318115586083,0.6260766983032227
bilstm,44,0.3490987924329171,0.5993227990970654,0.6216254955481051,0.38618260046676256,0.33633578506416645,0.38618260046676256,0.5046783354055069,0.5084549321071499,0.7494356659142212,0.8227990970654627,0.8081772327423096,0.7212228775024414,0.12373100659278125,0.576366662979126
bilstm,45,0.35831318245418176,0.6382618510158014,0.6408133393788645,0.39340789329502923,0.34214261809180196,0.39340789329502923,0.5393634032502632,0.5411390314968397,0.7753950338600452,0.8386004514672686,0.6063913106918335,0.7888541221618652,0.15059226249296298,0.5285492539405823
bilstm,46,0.3322756747238045,0.582392776523702,0.599592322218191,0.3717930920958012,0.3190771088645836,0.3717930920958012,0.48290745073388974,0.4877838197157352,0.75,0.8143340857787811,1.2422406673431396,0.5918862819671631,0.027415119128356404,0.5592809319496155
bilstm,mean,0.33530921666186786,0.5810383747178329,0.6015472998386345,0.3853771719305738,0.320952038870918,0.3853771719305738,0.4854582954152386,0.4911377665296076,0.7408577878103837,0.8162528216704288,1.0021659016609192,0.6641584038734436,0.09372805258254974,0.5857761859893799
bilstm,std,0.019769472683375734,0.04218675674243729,0.03355045778476574,0.008536750776061326,0.018883757425810995,0.008536750776061326,0.040121892049515495,0.03666789066245414,0.026455774889597262,0.016619614873108143,0.33428424804830487,0.101373047287275,0.05542082851633434,0.04604542867679863
cnn2d,42,0.37834084577224647,0.5564334085778782,0.5970636513575687,0.41405772316136474,0.40964240170169985,0.41405772316136474,0.4651338459547443,0.4799050043620378,0.7161399548532731,0.8024830699774267,1.3369991779327393,0.5617057681083679,0.03596328217410071,0.6039841175079346
cnn2d,43,0.3609622494200049,0.5366817155756207,0.5908752764640752,0.43153257094914477,0.3669398527177903,0.43153257094914477,0.4520995959324341,0.46435646300070105,0.6952595936794582,0.791196388261851,1.2793625593185425,0.567182183265686,0.036845250774183345,0.6137230396270752
cnn2d,44,0.33092667401903547,0.5079006772009029,0.5469894852910798,0.4133153667515591,0.3337492826051148,0.4133153667515591,0.4165913737542689,0.429873371024419,0.6766365688487584,0.7629796839729119,1.464526891708374,0.5179169774055481,0.038067400859118056,0.6358811855316162
cnn2d,45,0.33854986978927876,0.6139954853273137,0.6327878300850988,0.4026088541939579,0.3286225331942405,0.4026088541939579,0.5205329942913248,0.5245264120019812,0.7556433408577878,0.8205417607223476,1.432498812675476,0.5508270859718323,0.06672443849776723,0.5256736278533936
cnn2d,46,0.3702352974581749,0.6179458239277652,0.639114815426368,0.4185484302705529,0.37819056691051234,0.4185484302705529,0.5270536594635276,0.5339817178281153,0.7579006772009029,0.8340857787810384,1.1296236515045166,0.625444769859314,0.03991093135041523,0.5213909149169922
cnn2d,mean,0.3558029872917481,0.5665914221218962,0.6013662117248381,0.4160125890653159,0.3634289274258716,0.4160125890653159,0.4762822938792599,0.48652859364345086,0.720316027088036,0.8022573363431151,1.3286022186279296,0.5646153569221497,0.04350226073111692,0.5801305770874023
