init_seed,left,right,linear_cka
0,cnn2d,bilstm,0.3132364588651529
0,cnn2d,transformer,0.3128755329476387
0,cnn2d,mamba1,0.34068644404788123
0,cnn2d,mamba2,0.2429998271594606
0,bilstm,transformer,0.9210923473391104
0,bilstm,mamba1,0.9372201217913317
0,bilstm,mamba2,0.8440688685930403
0,transformer,mamba1,0.9495628023001866
0,transformer,mamba2,0.8796486026072977
0,mamba1,mamba2,0.9015693076587608
1,cnn2d,bilstm,0.3090883539618056
1,cnn2d,transformer,0.3970482412926168
1,cnn2d,mamba1,0.38448261721335775
1,cnn2d,mamba2,0.3968109783053843
1,bilstm,transformer,0.9251188855780447
1,bilstm,mamba1,0.9350960988479632
1,bilstm,mamba2,0.8525252019938355
1,transformer,mamba1,0.927212666489361
1,transformer,mamba2,0.8701609869732394
1,mamba1,mamba2,0.9353370560487655
2,cnn2d,bilstm,0.28189373682606883
2,cnn2d,transformer,0.2731316827377634
2,cnn2d,mamba1,0.2954330083943579
2,cnn2d,mamba2,0.2796883736595629
2,bilstm,transformer,0.9180765422523571
2,bilstm,mamba1,0.9425121894281308
2,bilstm,mamba2,0.8612616662702537
2,transformer,mamba1,0.9222565628680767
2,transformer,mamba2,0.8463278566955064
2,mamba1,mamba2,0.9288264216997444
3,cnn2d,bilstm,0.2779576445218758
3,cnn2d,transformer,0.32358147232390105
3,cnn2d,mamba1,0.353189993297851
3,cnn2d,mamba2,0.3651787368380675
3,bilstm,transformer,0.9178389572071369
3,bilstm,mamba1,0.9386402493228961
3,bilstm,mamba2,0.8330976057625098
3,transformer,mamba1,0.938155064577376
3,transformer,mamba2,0.8472836073350094
3,mamba1,mamba2,0.9148561518927752
4,cnn2d,bilstm,0.3408463737275381
4,cnn2d,transformer,0.3272447759066458
4,cnn2d,mamba1,0.39130188633222224
4,cnn2d,mamba2,0.42061147116725717
4,bilstm,transformer,0.9284136445116413
4,bilstm,mamba1,0.9352358236452385
4,bilstm,mamba2,0.8073269328833278
4,transformer,mamba1,0.93212736730643
4,transformer,mamba2,0.8293758683471296
4,mamba1,mamba2,0.9057685453780426
