init_seed,model_key,trained_vs_untrained_linear_cka
0,cnn2d,0.25468265903421006
0,bilstm,0.5434994025837718
0,transformer,0.4439052718806341
0,mamba1,0.48368959169896475
0,mamba2,0.4792324168702511
1,cnn2d,0.2766532408706725
1,bilstm,0.5612649354466624
1,transformer,0.36343418402051486
1,mamba1,0.4719309280401503
1,mamba2,0.445656674813341
2,cnn2d,0.2676516659094412
2,bilstm,0.5540532056669254
2,transformer,0.3833848777319145
2,mamba1,0.49447777057724795
2,mamba2,0.5145427513970828
3,cnn2d,0.2680853446548528
3,bilstm,0.5525458508707229
3,transformer,0.37163748592626283
3,mamba1,0.47042663237484933
3,mamba2,0.4917279988557002
4,cnn2d,0.27975724351291625
4,bilstm,0.5447814285839556
4,transformer,0.417042530805389
4,mamba1,0.4776245912566963
4,mamba2,0.4430948742980239
