mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
194.6366057395935,0.0,10.363672733306885,0.0,0.1,scale,"{""svm__C"": 0.1, ""svm__gamma"": ""scale""}",0.38205675426452634,0.38205675426452634,0.0,10
194.53397250175476,0.0,10.54935622215271,0.0,0.1,auto,"{""svm__C"": 0.1, ""svm__gamma"": ""auto""}",0.38205675426452634,0.38205675426452634,0.0,10
199.3323941230774,0.0,10.29793381690979,0.0,0.1,0.001,"{""svm__C"": 0.1, ""svm__gamma"": 0.001}",0.3711337420422437,0.3711337420422437,0.0,12
292.3926932811737,0.0,6.953004598617554,0.0,0.1,0.01,"{""svm__C"": 0.1, ""svm__gamma"": 0.01}",0.07891410024482928,0.07891410024482928,0.0,16
104.25355577468872,0.0,9.299889087677002,0.0,1.0,scale,"{""svm__C"": 1, ""svm__gamma"": ""scale""}",0.4237976449221996,0.4237976449221996,0.0,2
105.26627087593079,0.0,9.675426483154297,0.0,1.0,auto,"{""svm__C"": 1, ""svm__gamma"": ""auto""}",0.4237976449221996,0.4237976449221996,0.0,2
108.96693348884583,0.0,9.3235764503479,0.0,1.0,0.001,"{""svm__C"": 1, ""svm__gamma"": 0.001}",0.42146611841893133,0.42146611841893133,0.0,4
261.1129517555237,0.0,7.674730062484741,0.0,1.0,0.01,"{""svm__C"": 1, ""svm__gamma"": 0.01}",0.2194301334148399,0.2194301334148399,0.0,13
68.85295534133911,0.0,8.834700584411621,0.0,10.0,scale,"{""svm__C"": 10, ""svm__gamma"": ""scale""}",0.41662086030596723,0.41662086030596723,0.0,5
69.49718832969666,0.0,8.931596517562866,0.0,10.0,auto,"{""svm__C"": 10, ""svm__gamma"": ""auto""}",0.41662086030596723,0.41662086030596723,0.0,5
63.07514023780823,0.0,8.579918622970581,0.0,10.0,0.001,"{""svm__C"": 10, ""svm__gamma"": 0.001}",0.42933886457425285,0.42933886457425285,0.0,1
174.95989227294922,0.0,6.658472061157227,0.0,10.0,0.01,"{""svm__C"": 10, ""svm__gamma"": 0.01}",0.20689364605547472,0.20689364605547472,0.0,14
61.336424827575684,0.0,8.09173583984375,0.0,100.0,scale,"{""svm__C"": 100, ""svm__gamma"": ""scale""}",0.40017699833131043,0.40017699833131043,0.0,8
62.43917179107666,0.0,7.150030612945557,0.0,100.0,auto,"{""svm__C"": 100, ""svm__gamma"": ""auto""}",0.40017699833131043,0.40017699833131043,0.0,8
51.91749930381775,0.0,6.540387392044067,0.0,100.0,0.001,"{""svm__C"": 100, ""svm__gamma"": 0.001}",0.40033273176505185,0.40033273176505185,0.0,7
167.5419008731842,0.0,5.950855493545532,0.0,100.0,0.01,"{""svm__C"": 100, ""svm__gamma"": 0.01}",0.20689364605547472,0.20689364605547472,0.0,14
