source_arch,target_arch,mode,accuracy,balanced_accuracy,macro_f1,weighted_f1
cnn2d,cnn2d,self_probe,0.7443609022556391,0.7538652739515552,0.6898203412790954,0.7604951660776497
bilstm,bilstm,self_probe,0.6917293233082706,0.6064673874143245,0.5734268229315751,0.6964282223299622
transformer,transformer,self_probe,0.6221804511278195,0.49062881649486484,0.4192701294677743,0.641890245378307
mamba1,mamba1,self_probe,0.6729323308270677,0.6230695893843005,0.4866814880958558,0.6980099835304918
mamba2,mamba2,self_probe,0.6785714285714286,0.6137672013319123,0.5066422634212547,0.6986623274250687
cnn2d,bilstm,source_probe_on_target_via_ridge_bridge,0.6766917293233082,0.49669437207077416,0.4641929519790474,0.6883646639457716
cnn2d,transformer,source_probe_on_target_via_ridge_bridge,0.7011278195488722,0.4139775547584003,0.4057655280709388,0.6822468131499657
cnn2d,mamba1,source_probe_on_target_via_ridge_bridge,0.7161654135338346,0.45648469028106653,0.4305885020278678,0.7096957117323139
cnn2d,mamba2,source_probe_on_target_via_ridge_bridge,0.6973684210526315,0.5289774077522137,0.5274494152794648,0.6995829336154787
bilstm,cnn2d,source_probe_on_target_via_ridge_bridge,0.7556390977443609,0.5374427146213169,0.5616696644385751,0.7469858429420136
bilstm,transformer,source_probe_on_target_via_ridge_bridge,0.7011278195488722,0.4662852752412718,0.47164174565116734,0.6890363533304029
bilstm,mamba1,source_probe_on_target_via_ridge_bridge,0.7406015037593985,0.49559836521117795,0.5129220045062477,0.7272779407227767
bilstm,mamba2,source_probe_on_target_via_ridge_bridge,0.7255639097744361,0.5240603621384466,0.5253020542668565,0.718226051821598
transformer,cnn2d,source_probe_on_target_via_ridge_bridge,0.7349624060150376,0.5282183460936697,0.54758683279707,0.7344283212975409
transformer,bilstm,source_probe_on_target_via_ridge_bridge,0.6635338345864662,0.48211946689837115,0.46679899642146155,0.6724518402713379
transformer,mamba1,source_probe_on_target_via_ridge_bridge,0.7199248120300752,0.4501543557108699,0.45491737318314207,0.707874628247726
transformer,mamba2,source_probe_on_target_via_ridge_bridge,0.6842105263157895,0.46305956677397575,0.4805772163241223,0.6814507183148251
mamba1,cnn2d,source_probe_on_target_via_ridge_bridge,0.7443609022556391,0.5676685605007434,0.5602285804230384,0.7504663277597918
mamba1,bilstm,source_probe_on_target_via_ridge_bridge,0.6578947368421053,0.5569923975499903,0.4522797775253372,0.6739412489584129
mamba1,transformer,source_probe_on_target_via_ridge_bridge,0.6823308270676691,0.43700508319792186,0.4256810671537179,0.6787587572706049
mamba1,mamba2,source_probe_on_target_via_ridge_bridge,0.7011278195488722,0.6051833893647957,0.49871999163251735,0.7144277780159336
mamba2,cnn2d,source_probe_on_target_via_ridge_bridge,0.7424812030075187,0.5835897718328693,0.5585308553910243,0.7438401096275027
mamba2,bilstm,source_probe_on_target_via_ridge_bridge,0.6691729323308271,0.5620159570202711,0.49069096338678325,0.6835024516351451
mamba2,transformer,source_probe_on_target_via_ridge_bridge,0.693609022556391,0.46139514559812234,0.4611087457945461,0.6839495295287097
mamba2,mamba1,source_probe_on_target_via_ridge_bridge,0.7349624060150376,0.6117937889680771,0.555133105022459,0.7381397969177569
