arch,rank,pair,sum_off_diag_normalized,full_distance,d_timbre,d_pitch_class,d_tonal_geometry,d_spectral_contrast,d_spectral_shape,d_noisiness,d_energy,d_rhythm
cnn2d,1,Easy Listening ↔ Instrumental,0.5414,12.178,7.366,3.434,1.876,3.594,3.257,1.065,0.798,4.618
cnn2d,2,Rock ↔ Soul-RnB,0.5082,10.702,6.796,2.316,1.356,3.776,2.355,1.201,1.237,4.671
cnn2d,3,International ↔ Jazz,0.5000,10.262,7.097,3.575,3.096,2.876,2.457,1.955,0.363,1.448
cnn2d,4,Folk ↔ Instrumental,0.4350,7.655,4.174,2.652,1.524,2.450,1.464,0.267,0.348,2.836
cnn2d,5,Classical ↔ Easy Listening,0.4333,15.949,9.955,2.444,3.441,6.678,4.279,1.352,2.510,3.841
bilstm,1,International ↔ Rock,0.6000,12.742,9.540,2.520,1.454,5.464,1.408,1.292,1.103,2.173
bilstm,2,Folk ↔ Instrumental,0.4131,7.655,4.174,2.652,1.524,2.450,1.464,0.267,0.348,2.836
bilstm,3,Electronic ↔ Pop,0.3944,7.026,4.102,1.242,1.621,2.549,2.044,0.642,0.803,1.790
bilstm,4,Rock ↔ Soul-RnB,0.3765,10.702,6.796,2.316,1.356,3.776,2.355,1.201,1.237,4.671
bilstm,5,Classical ↔ Easy Listening,0.3667,15.949,9.955,2.444,3.441,6.678,4.279,1.352,2.510,3.841
transformer,1,International ↔ Jazz,0.8154,10.262,7.097,3.575,3.096,2.876,2.457,1.955,0.363,1.448
transformer,2,Easy Listening ↔ Instrumental,0.4333,12.178,7.366,3.434,1.876,3.594,3.257,1.065,0.798,4.618
transformer,3,Country ↔ Rock,0.4264,5.705,3.199,1.194,1.148,2.529,0.890,0.603,0.113,1.575
transformer,4,Rock ↔ Soul-RnB,0.4089,10.702,6.796,2.316,1.356,3.776,2.355,1.201,1.237,4.671
transformer,5,Blues ↔ Rock,0.4043,8.748,5.156,2.549,1.738,3.366,1.387,0.600,1.299,2.289
mamba1,1,International ↔ Rock,0.5013,12.742,9.540,2.520,1.454,5.464,1.408,1.292,1.103,2.173
mamba1,2,Electronic ↔ Pop,0.4395,7.026,4.102,1.242,1.621,2.549,2.044,0.642,0.803,1.790
mamba1,3,Blues ↔ Rock,0.4039,8.748,5.156,2.549,1.738,3.366,1.387,0.600,1.299,2.289
mamba1,4,Folk ↔ Instrumental,0.3577,7.655,4.174,2.652,1.524,2.450,1.464,0.267,0.348,2.836
mamba1,5,Rock ↔ Soul-RnB,0.3458,10.702,6.796,2.316,1.356,3.776,2.355,1.201,1.237,4.671
mamba2,1,Classical ↔ Easy Listening,0.5000,15.949,9.955,2.444,3.441,6.678,4.279,1.352,2.510,3.841
mamba2,2,International ↔ Jazz,0.5000,10.262,7.097,3.575,3.096,2.876,2.457,1.955,0.363,1.448
mamba2,3,Rock ↔ Soul-RnB,0.4047,10.702,6.796,2.316,1.356,3.776,2.355,1.201,1.237,4.671
mamba2,4,Blues ↔ Rock,0.4023,8.748,5.156,2.549,1.738,3.366,1.387,0.600,1.299,2.289
mamba2,5,International ↔ Rock,0.4000,12.742,9.540,2.520,1.454,5.464,1.408,1.292,1.103,2.173
