epoch,max_epochs,model,seed,learning_rate,grad_scaler_scale,epoch_seconds,samples_per_sec,best_epoch,best_val_macro_f1,patience,patience_used,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_cohen_kappa,train_matthews_corrcoef,train_top_2_accuracy,train_top_3_accuracy,train_mean_confidence,train_median_confidence,train_mean_predicted_class_confidence,train_mean_true_class_probability,train_prediction_entropy,train_expected_calibration_error,train_multiclass_brier,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,train_loss,train_grad_norm_mean,train_grad_norm_max,train_grad_norm_last,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_cohen_kappa,val_matthews_corrcoef,val_top_2_accuracy,val_top_3_accuracy,val_mean_confidence,val_median_confidence,val_mean_predicted_class_confidence,val_mean_true_class_probability,val_prediction_entropy,val_expected_calibration_error,val_multiclass_brier,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_loss,cuda_memory_allocated_mb,cuda_memory_reserved_mb,cuda_peak_memory_allocated_mb,cuda_peak_memory_reserved_mb
1,50,mamba2,42,1e-05,32768.0,38.509664350014646,395.1215949768259,1,0.1882934149944161,10,0,0.4108200118413262,0.2053897203746725,0.1524504486439446,0.2053897203746725,0.16036538992078453,0.4717716105532523,0.4108200118413262,0.4230954407674274,0.4108200118413262,0.4108200118413262,0.4108200118413262,0.2669740910182278,0.2727323441536239,0.5804470100651273,0.6702930728241563,0.15606084160722877,0.13818359375,0.15606084160722877,0.123611701459416,2.6045669332238264,0.2547591702340974,0.8405551745373994,,,2.474918971335556,,,9.195809364318848,0.5082159624413145,0.2547515901511306,0.19728566930887786,0.2547515901511306,0.1882934149944161,0.5534495982276166,0.5082159624413145,0.49969615197128664,0.5082159624413145,0.5082159624413145,0.5082159624413145,0.37377008344750284,0.37960011789018333,0.630868544600939,0.7012910798122066,0.25643713149666225,0.2200927734375,0.25643713149666225,0.19923527140012928,2.359396080773018,0.2534562948164246,0.7421156781616289,,,2.1599279670088505,50.83544921875,2500.0,1850.67041015625,2500.0
2,50,mamba2,42,0.000208,16384.0,19.477861457969993,781.194590218932,2,0.2536637035258177,10,0,0.37263173475429245,0.3009039753796861,0.20898838036108497,0.3009039753796861,0.21009040920365957,0.575495497458128,0.37263173475429245,0.4106951393491727,0.37263173475429245,0.37263173475429245,0.37263173475429245,0.27522860411678784,0.2902795704314505,0.5728981645944345,0.6720692717584369,0.34813714577927257,0.301513671875,0.34813714577927257,0.22544300584414784,2.0367813250793065,0.034098899032746356,0.7648783856327755,,,2.1271752539014166,,,7.988306045532227,0.4794600938967136,0.3463522683318329,0.2493321120127306,0.3463522683318329,0.2536637035258177,0.6618828333475809,0.4794600938967136,0.4932375609596387,0.4794600938967136,0.4794600938967136,0.4794600938967136,0.38297037625201324,0.4019900368571259,0.6490610328638498,0.7523474178403756,0.4373321175015588,0.3719482421875,0.4373321175015588,0.31645017498535727,1.7541812765241778,0.05406135236713247,0.6670709996073224,,,1.8137207171167007,50.83544921875,2500.0,1645.96435546875,2500.0
3,50,mamba2,42,0.00040599999999999995,16384.0,18.59178613196127,818.4259377770093,3,0.2842064943675022,10,0,0.4253256364712848,0.369975603633323,0.25649918024098944,0.369975603633323,0.2660381414862334,0.6324099798699191,0.4253256364712848,0.4728219550357641,0.4253256364712848,0.4253256364712848,0.4253256364712848,0.3326174049695675,0.34804777270286347,0.6096062759029012,0.7086293664890467,0.41814820112879986,0.371826171875,0.41814820112879986,0.27731438640167616,1.7966999275358593,0.02563881747040825,0.7239096584217425,,,1.896668682089919,6.309462218701698,22.92819595336914,10.441205024719238,0.5129107981220657,0.3835572223137824,0.27394892352620204,0.3835572223137824,0.2842064943675022,0.653880895764133,0.5129107981220657,0.5507124263568611,0.5129107981220657,0.5129107981220657,0.5129107981220657,0.410291626951664,0.42081210323972934,0.6578638497652582,0.7323943661971831,0.40560716082792325,0.373779296875,0.40560716082792325,0.2932117505812309,1.868439084314258,0.11421644183951364,0.6724993221892471,,,1.7298746366456081,50.83544921875,2500.0,1645.96435546875,2500.0
4,50,mamba2,42,0.0006039999999999999,16384.0,23.45435243000975,648.7495250788161,4,0.3038607156902906,10,0,0.4517465956187093,0.4107391025652385,0.2848621105228844,0.4107391025652385,0.29806901902137356,0.6655415815929311,0.4517465956187093,0.5034240877625005,0.4517465956187093,0.4517465956187093,0.4517465956187093,0.3629345359550499,0.37924832062730224,0.6432060390763765,0.7331261101243339,0.45072906747098646,0.404296875,0.45072906747098646,0.3026330794647221,1.7004013002087641,0.03934660347486262,0.703508001468433,,,1.788357223823552,6.115329767795319,22.159032821655273,19.237958908081055,0.4225352112676056,0.4174421275031676,0.32050854681492125,0.4174421275031676,0.3038607156902906,0.6930421339744747,0.4225352112676056,0.4851620582651129,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.33928764230012964,0.3614227745727675,0.6836854460093896,0.7764084507042254,0.44005659936179575,0.3974609375,0.44005659936179575,0.2944104402837619,1.7102711181140395,0.04508778746698944,0.7113133070505946,,,1.8046509055464481,50.83544921875,2500.0,1645.96435546875,2500.0
5,50,mamba2,42,0.0008019999999999999,16384.0,21.260573817009572,715.6909371762301,4,0.3038607156902906,10,1,0.46662226169330967,0.42571014178478495,0.29389779428499413,0.42571014178478495,0.3102614720184531,0.6722784772469392,0.46662226169330967,0.5163272155934089,0.46662226169330967,0.46662226169330967,0.46662226169330967,0.37784155841844225,0.39396537141302224,0.6600059206631143,0.7519242155121374,0.4808198918669516,0.43212890625,0.4808198918669516,0.32788881864189184,1.598923041471378,0.032911500541185607,0.685347729789991,,,1.6872297212031553,5.795208958305648,17.865299224853516,11.93881607055664,0.2306338028169014,0.30663078879594957,0.2599373596808089,0.30663078879594957,0.2083476557333006,0.6497135385834439,0.2306338028169014,0.227804819712718,0.2306338028169014,0.2306338028169014,0.2306338028169014,0.1766107357318618,0.2037196361719458,0.4894366197183099,0.6232394366197183,0.5059237771190948,0.4420166015625,0.5059237771190948,0.21165797418691742,1.536975463607286,0.2752899743021934,0.9476398251540193,,,2.1088366418937,50.83544921875,2500.0,1645.96435546875,2500.0
6,50,mamba2,42,0.001,16384.0,24.57317621196853,619.2117725745582,6,0.34921930443285676,10,0,0.4763173475429248,0.4429014619757241,0.3052361380802463,0.4429014619757241,0.32261292931401553,0.6845143520559801,0.4763173475429248,0.5274392971925145,0.4763173475429248,0.4763173475429248,0.4763173475429248,0.38844517420108327,0.4046980578321121,0.662818235642392,0.7536264061574897,0.48675790519104545,0.4365234375,0.48675790519104545,0.33440099423668523,1.5733538055990568,0.038607505315009345,0.6792064592574277,,,1.6763086651753505,5.739412802894629,19.304401397705078,4.8738813400268555,0.5815727699530516,0.4417274576861313,0.32999863588141576,0.4417274576861313,0.34921930443285676,0.6927582891155042,0.5815727699530516,0.6110951808588205,0.5815727699530516,0.5815727699530516,0.5815727699530516,0.4823301432532171,0.491380222822672,0.7142018779342723,0.7904929577464789,0.5128660963174883,0.4700927734375,0.5128660963174883,0.40280458624933807,1.538339419921159,0.07426961263020833,0.5686684019120942,,,1.6799452920474915,50.83544921875,2500.0,1645.96435546875,2500.0
7,50,mamba2,42,0.0009987820251299122,32768.0,22.237803619005717,684.2402361623305,6,0.34921930443285676,10,1,0.5109532267613973,0.4868008496496216,0.32165568731409433,0.4868008496496216,0.3513749361697757,0.6880790212156995,0.5109532267613973,0.5564965616227645,0.5109532267613973,0.5109532267613973,0.5109532267613973,0.4212175584043135,0.43538301055543016,0.6911634103019538,0.7826376554174067,0.5118529894000472,0.46533203125,0.5118529894000472,0.36651733287821303,1.4953928811927877,0.02890178167728224,0.6397153408519287,,,1.5308451567125292,5.201364241593273,17.878826141357422,10.095878601074219,0.5487089201877934,0.3622527337375044,0.3547366031300831,0.3622527337375044,0.3307468023924514,0.69390713933723,0.5487089201877934,0.5914535409236441,0.5487089201877934,0.5487089201877934,0.5487089201877934,0.45249500806189136,0.4638805044759727,0.721830985915493,0.8104460093896714,0.5320052742398401,0.5,0.5320052742398401,0.3939983066818524,1.4169956005835784,0.04192348713046509,0.6045078253196414,,,1.7554434963235273,50.83544921875,2500.0,1645.96435546875,2500.0
8,50,mamba2,42,0.0009951340343707852,32768.0,22.112466871971264,688.118611464698,6,0.34921930443285676,10,2,0.5167998815867377,0.5078630564617803,0.33583699305826065,0.5078630564617803,0.36458613158652353,0.703979039013373,0.5167998815867377,0.5637835232855742,0.5167998815867377,0.5167998815867377,0.5167998815867377,0.4304767129228355,0.44589735792173235,0.7011545293072824,0.7890023682652457,0.5281463496567865,0.478271484375,0.5281463496567865,0.37932474437445984,1.4307325554661123,0.0344481120948046,0.6347701577147905,,,1.4433193237842223,5.6236743184409805,27.793533325195312,13.799829483032227,0.5328638497652582,0.4109465722294785,0.3067706037752377,0.4109465722294785,0.30803158851624957,0.7148610937445207,0.5328638497652582,0.5933920625806318,0.5328638497652582,0.5328638497652582,0.5328638497652582,0.440055417168589,0.4528652356041268,0.6725352112676056,0.7687793427230047,0.5372364599380135,0.491943359375,0.5372364599380135,0.3929976203911741,1.4115223870741243,0.024312767064627358,0.6146558301176558,,,1.7492121561592173,50.83544921875,2500.0,1645.96435546875,2500.0
9,50,mamba2,42,0.000989073800366903,32768.0,19.786363088001963,769.0144940899555,6,0.34921930443285676,10,3,0.5441089402013025,0.5565055131198179,0.3638711925129255,0.5565055131198179,0.4009737203004379,0.7189761739663858,0.5441089402013025,0.5903082051694626,0.5441089402013025,0.5441089402013025,0.5441089402013025,0.4588503096884443,0.4733702047803023,0.7135879218472468,0.8006956779159266,0.5573706166711766,0.51708984375,0.5573706166711766,0.4098407869123015,1.3428819622066763,0.024809318438586983,0.6035362792165642,,,1.34452956823148,5.477437880867762,18.062335968017578,2.224018096923828,0.5146713615023474,0.4348673610295062,0.3294836183209195,0.4348673610295062,0.32268429068378046,0.7161855611968136,0.5146713615023474,0.5726787589566505,0.5146713615023474,0.5146713615023474,0.5146713615023474,0.4244597499852971,0.4385339635693279,0.6977699530516432,0.7816901408450704,0.6192020183437866,0.607421875,0.6192020183437866,0.42756614855057756,1.1600949825900646,0.10453065684143927,0.6397456238708598,,,1.820973017406016,50.83544921875,2500.0,1645.96435546875,2500.0
10,50,mamba2,42,0.0009806308479691596,16384.0,23.50630909501342,647.315575511933,6,0.34921930443285676,10,4,0.5609088217880402,0.5931155662999565,0.377631333323302,0.5931155662999565,0.42263091723189894,0.7205578282899572,0.5609088217880402,0.6019618007222655,0.5609088217880402,0.5609088217880402,0.5609088217880402,0.4765364048119891,0.49036043137677915,0.7358644168146833,0.8257844878626406,0.5898368568939878,0.55712890625,0.5898368568939878,0.4384071038911299,1.24183129698109,0.03340550044925342,0.5829061354519719,,,1.2239293695166662,,,14.143340110778809,0.5481220657276995,0.3931848400387917,0.31215996087814046,0.3931848400387917,0.3169251404413469,0.7064169064082544,0.5481220657276995,0.6010494925154346,0.5481220657276995,0.5481220657276995,0.5481220657276995,0.4552692018353651,0.4666828510136354,0.7136150234741784,0.8133802816901409,0.5805740714632849,0.538818359375,0.5805740714632849,0.4273573335767352,1.2402557231133822,0.045831886255685156,0.5974216820146616,,,1.7522991766952014,50.83544921875,2500.0,1645.96435546875,2500.0
