bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,12,0.25,0.1844584196805954
0.2,0.30000000000000004,88,0.20454545454545456,0.2581065893173218
0.30000000000000004,0.4,203,0.29064039408866993,0.35244524478912354
0.4,0.5,263,0.3231939163498099,0.4511375427246094
0.5,0.6000000000000001,247,0.42105263157894735,0.5503225922584534
0.6000000000000001,0.7000000000000001,241,0.46887966804979253,0.6534216403961182
0.7000000000000001,0.8,184,0.5706521739130435,0.751876175403595
0.8,0.9,229,0.8209606986899564,0.8535668253898621
0.9,1.0,305,0.9508196721311475,0.9543144702911377
