bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,2,0.0,0.1773681640625
0.2,0.30000000000000004,49,0.16326530612244897,0.2612479031085968
0.30000000000000004,0.4,158,0.26582278481012656,0.35534822940826416
0.4,0.5,257,0.2801556420233463,0.4525550305843353
0.5,0.6000000000000001,260,0.36153846153846153,0.5496694445610046
0.6000000000000001,0.7000000000000001,193,0.5284974093264249,0.6503956913948059
0.7000000000000001,0.8,222,0.581081081081081,0.7500044107437134
0.8,0.9,275,0.6618181818181819,0.8523188829421997
0.9,1.0,356,0.8230337078651685,0.9587032198905945
