bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,4,0.0,0.188690185546875
0.2,0.30000000000000004,104,0.2403846153846154,0.26575058698654175
0.30000000000000004,0.4,237,0.31645569620253167,0.35371342301368713
0.4,0.5,269,0.39776951672862454,0.4499538838863373
0.5,0.6000000000000001,227,0.47577092511013214,0.5503360033035278
0.6000000000000001,0.7000000000000001,199,0.5678391959798995,0.6511463522911072
0.7000000000000001,0.8,202,0.6584158415841584,0.7523301839828491
0.8,0.9,194,0.7835051546391752,0.8513888120651245
0.9,1.0,336,0.9285714285714286,0.9560343623161316
