bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,8,0.25,0.18145751953125
0.2,0.30000000000000004,182,0.22527472527472528,0.2632151246070862
0.30000000000000004,0.4,357,0.3137254901960784,0.3519468307495117
0.4,0.5,349,0.38108882521489973,0.4497000277042389
0.5,0.6000000000000001,268,0.43656716417910446,0.550713837146759
0.6000000000000001,0.7000000000000001,216,0.4537037037037037,0.6463645696640015
0.7000000000000001,0.8,158,0.5063291139240507,0.7487174868583679
0.8,0.9,113,0.5752212389380531,0.8509100079536438
0.9,1.0,121,0.6942148760330579,0.9575397372245789
